Epoch:0330 train loss:0.890 acc:75.00 | val loss:0.957 acc:82.20
Epoch:0331 train loss:1.280 acc:69.29 | val loss:0.960 acc:82.00
Epoch:0332 train loss:0.929 acc:75.71 | val loss:0.962 acc:81.80
Epoch:0333 train loss:0.835 acc:82.14 | val loss:0.965 acc:81.20
Epoch:0334 train loss:0.939 acc:69.29 | val loss:0.967 acc:80.80
Epoch:0335 train loss:0.927 acc:72.86 | val loss:0.969 acc:80.60
Epoch:0336 train loss:0.930 acc:74.29 | val loss:0.968 acc:80.80
Epoch:0337 train loss:0.962 acc:71.43 | val loss:0.968 acc:81.00
Epoch:0338 train loss:0.786 acc:84.29 | val loss:0.964 acc:80.80
Epoch:0339 train loss:0.797 acc:78.57 | val loss:0.961 acc:80.60
Epoch:0340 train loss:0.843 acc:73.57 | val loss:0.960 acc:81.20
Epoch:0341 train loss:0.954 acc:70.71 | val loss:0.956 acc:81.00
Epoch:0342 train loss:1.028 acc:78.57 | val loss:0.954 acc:80.60
Epoch:0343 train loss:0.901 acc:73.57 | val loss:0.953 acc:81.40
Epoch:0344 train loss:0.903 acc:75.71 | val loss:0.950 acc:82.20
Epoch:0345 train loss:0.861 acc:82.14 | val loss:0.947 acc:82.40
Epoch:0346 train loss:0.930 acc:75.71 | val loss:0.944 acc:82.00
Epoch:0347 train loss:0.925 acc:70.71 | val loss:0.939 acc:82.00
Epoch:0348 train loss:1.390 acc:76.43 | val loss:0.936 acc:81.40
Epoch:0349 train loss:0.799 acc:79.29 | val loss:0.936 acc:81.80
Epoch:0350 train loss:0.880 acc:80.00 | val loss:0.935 acc:81.80
Epoch:0351 train loss:0.947 acc:72.86 | val loss:0.935 acc:82.40
Epoch:0352 train loss:0.888 acc:73.57 | val loss:0.936 acc:82.60
Epoch:0353 train loss:0.922 acc:74.29 | val loss:0.936 acc:82.20
Epoch:0354 train loss:0.821 acc:81.43 | val loss:0.935 acc:81.60
Epoch:0355 train loss:0.808 acc:78.57 | val loss:0.932 acc:81.00
Epoch:0356 train loss:0.833 acc:83.57 | val loss:0.931 acc:81.40
Epoch:0357 train loss:0.820 acc:82.14 | val loss:0.929 acc:81.20
Epoch:0358 train loss:0.816 acc:81.43 | val loss:0.929 acc:81.40
